음식점번호,음식점명,대표자명,도로명주소,지번주소,음식점유형,읍면동리,본번,부번,도로명,도로명본번,도로명부번,PNU코드
3278,일차돌,김미희,"광주대로55번길 15, 1층 (경안동)",경안동 62-1번지 경안동 1층,식육(숯불구이),4161010100,62,1,광주대로55번길,15,0,4.16101E+18
3279,매산식당,고완석,"오포읍 매자리길 20, 1층",오포읍 매산리 234-6번지 1층,한식,4161025026,234,6,매자리길,20,0,4.16103E+18
3280,미소포장마차,지미영,"초월읍 경충대로 865-2, 1층",초월읍 산이리 17-2번지 1층,정종/대포집/소주방,4161025323,17,2,경충대로,865,2,4.16103E+18
3281,일층떡볶이,김도현,"벌원길 69, 1층 (탄벌동)",탄벌동 42-11번지 탄벌동 1층,분식,4161010500,42,11,벌원길,69,0,4.16101E+18
3282,먹자네한식부페,김형순,"곤지암읍 신만로 85, 1호동 1층",곤지암읍 수양리 30번지 1호1층,한식,4161025922,30,0,신만로,85,0,4.16103E+18
3283,무명,안형원,"남종면 태허정로 385, 1층",남종면 삼성리 410-4번지 1층,한식,4161035024,410,4,태허정로,385,0,4.16104E+18
3284,우진푸드시스템,이영미,"곤지암읍 광여로 196, 3층",곤지암읍 열미리 503-1번지 3층,한식,4161025934,503,1,광여로,196,0,4.16103E+18
3285,허브나무카페,이영미,"초월읍 설월길 8, 1~2층",초월읍 지월리 550-2번지 ,기타,4161025329,550,2,설월길,8,0,4.16103E+18
3286,퇴촌국수집,이기옥,"퇴촌면 광동로 75-1, 1층",퇴촌면 광동리 155-1번지 1층,한식,4161034021,155,1,광동로,75,1,4.16103E+18
3287,늘푸른어장,구윤회,"오포읍 오포로 532, 1층",오포읍 문형리 241-4번지 1층,일식,4161025024,241,4,오포로,532,0,4.16103E+18
3288,서민만원족발,김효준,경안로 29 (경안동),경안동 34-3번지 경안동 ,식육(숯불구이),4161010100,34,3,경안로,29,0,4.16101E+18
3289,떡볶이가족곤지암점,차영수,"초월읍 경충대로 923-2, 1층",초월읍 산이리 94-1번지 1층,분식,4161025323,94,1,경충대로,923,2,4.16103E+18
3290,카페160,이영미,"태전동로 27, 명성빌딩 4층 (태전동)",태전동 160-1번지 명성빌딩 4층  태전동,기타,4161011000,160,1,태전동로,27,0,4.16101E+18
