업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,업태명
일반음식점,2011-06-20,커피하루,"서울특별시 중랑구 봉화산로 65 (중화동,1층)",서울특별시 중랑구 중화동 110-107 1층 ,49,기타
일반음식점,2011-06-24,은하수커피호프,"서울특별시 중랑구 중랑역로 20 (중화동,2층)",서울특별시 중랑구 중화동 298-21 2층 ,78,정종/대포집/소주방
일반음식점,2011-06-24,오장동함흥냉면,"서울특별시 중랑구 동일로143길 5 (중화동,2층)",서울특별시 중랑구 중화동 307-69 2층 ,72.19,한식
일반음식점,2011-06-24,일차돌,"서울특별시 중랑구 동일로 946 (묵동,신도브랜드 101,102호)","서울특별시 중랑구 묵동 169-10 신도브랜드 101,102호 ",113.03,한식
일반음식점,2011-06-24,남원골,"서울특별시 중랑구 망우로32길 28 (상봉동,1층)",서울특별시 중랑구 상봉동 130-22 1층 ,65.25,한식
일반음식점,2011-06-28,느티나무그늘아래평상,"서울특별시 중랑구 양원역로 22 (망우동,1층)",서울특별시 중랑구 망우동 182-74 1층 ,13.22,통닭(치킨)
일반음식점,2011-07-04,친구와한잔,"서울특별시 중랑구 면목로44길 44 (면목동,외 2필지 1층(472-3))",서울특별시 중랑구 면목동 1111-3 외 2필지 1층(472-3) ,32.3,호프/통닭
일반음식점,2011-07-05,유진호프,"서울특별시 중랑구 면목로 250 (면목동,지하1층)",서울특별시 중랑구 면목동 371-133 지하1층 ,69.44,호프/통닭
일반음식점,2011-07-07,버디,"서울특별시 중랑구 봉화산로 38 (중화동,2층)",서울특별시 중랑구 중화동 304-74 2층 ,99,호프/통닭
일반음식점,2011-07-11,더파이어,"서울특별시 중랑구 용마산로115길 109, S2004호 (망우동, 한일써너스빌리젠시2단지)",서울특별시 중랑구 망우동 495 ,56.88,호프/통닭
일반음식점,2011-07-14,제일호프,"서울특별시 중랑구 동일로 774, 지하1층 (중화동)",서울특별시 중랑구 중화동 294-9 ,92.92,호프/통닭
일반음식점,2011-07-15,하늘정원더파티,"서울특별시 중랑구 숙선옹주로 6-9 (묵동,묵동자이프라자 1단지 B101~105,B110호)","서울특별시 중랑구 묵동 164-4 묵동자이프라자 1단지 B101~105,B110호 ",862.93,뷔페식
일반음식점,2011-07-19,동원오리탕,"서울특별시 중랑구 면목로74길 40 (면목동,1층)",서울특별시 중랑구 면목동 103-7 1층 ,26.56,한식
일반음식점,2011-07-19,참이쁜돼지,"서울특별시 중랑구 봉화산로56길 74 (신내동,1층)",서울특별시 중랑구 신내동 451-8 1층 ,63.64,한식
일반음식점,2011-07-19,웅이네솥뚜껑,"서울특별시 중랑구 봉화산로56길 74 (신내동,1층)",서울특별시 중랑구 신내동 451-9 1층 ,35.89,한식
일반음식점,2011-07-20,더블플레이치킨,"서울특별시 중랑구 면목로 293 (면목동,1층)",서울특별시 중랑구 면목동 633-12 1층 ,66,기타
일반음식점,2011-07-28,개울,"서울특별시 중랑구 봉우재로 159 (상봉동,지하1층)",서울특별시 중랑구 상봉동 85-36 지하1층 ,53.68,호프/통닭
일반음식점,2011-07-29,한근반생고기,"서울특별시 중랑구 양원역로 19 (망우동,1층)",서울특별시 중랑구 망우동 182-63 1층 ,109,한식
일반음식점,2011-08-01,육대포,"서울특별시 중랑구 중랑천로12길 79 (상봉동,1층)",서울특별시 중랑구 상봉동 129-69 1층 ,89.64,한식
일반음식점,2011-08-17,엄마떡튀,"서울특별시 중랑구 면목로74길 16 (면목동,A동)",서울특별시 중랑구 면목동 102-17 A동 ,49.6,분식
일반음식점,2011-08-19,풍미고추장삼겹살,"서울특별시 중랑구 용마산로89길 3 (면목동,1층)",서울특별시 중랑구 면목동 50-1 1층 ,84.19,한식
일반음식점,2011-08-23,아씨보쌈,"서울특별시 중랑구 망우로62길 16 (망우동,1층)",서울특별시 중랑구 망우동 491-64 1층 ,52.8,한식
일반음식점,2011-09-01,전주콩나물국밥,"서울특별시 중랑구 겸재로 139 (면목동,1층)",서울특별시 중랑구 면목동 148-22 1층 ,71,한식
일반음식점,2011-09-06,전주식당,"서울특별시 중랑구 동일로129길 35, 103호 (중화동,태능주상복합상가)",서울특별시 중랑구 중화동 314-1 태능주상복합상가 103호,43.81,한식
일반음식점,2011-09-07,투마리치킨,"서울특별시 중랑구 중랑역로 25 (중화동,1층)",서울특별시 중랑구 중화동 320-20 1층 ,41,통닭(치킨)
일반음식점,2011-09-14,마니아호프,"서울특별시 중랑구 동일로129길 43 (중화동,1층)",서울특별시 중랑구 중화동 314-59 1층 ,23.14,호프/통닭
