시군명,상호명,업종명,소재지(도로명주소),우편번호,위도,경도,데이터기준일자
의정부시,MIX(믹스),일반휴게음식-일반한식,경기도 의정부시 시민로131번길 4 ,11695,,,2020-09-04
의정부시,NB9,일반휴게음식-일반한식,경기도 의정부시 시민로131번길 17,11695,37.738869,127.049773,2020-09-04
의정부시,Noting(낫띵),일반휴게음식-서양음식,경기도 의정부시 평화로494번길 8,11697,,,2020-09-04
의정부시,OK능이마을,일반휴게음식-일반한식,경기도 의정부시 신흥로 130,11633,37.727659,127.043966,2020-09-04
의정부시,Red,일반휴게음식-서양음식,경기도 의정부시 의정부2동494,11624,37.73796,127.043542,2020-09-04
의정부시,RICO가츠,일반휴게음식-일반한식,경기도 의정부시 오목로14번길 16,11792,37.731407,127.085034,2020-09-04
의정부시,S.차이나,일반휴게음식-중국식,경기도 의정부시 동일로466번길 39,11738,37.729186,127.061074,2020-09-04
의정부시,Since 2008최고루,일반휴게음식-중국식,경기도 의정부시 용민로237번길 8-21,11769,37.749515,127.097729,2020-09-04
의정부시,Slow roastery cafe(슬로우 로스터리 카페),일반휴게음식-서양음식,경기도 의정부시 오목로225번길 24-18,11813,37.747181,127.098509,2020-09-04
의정부시,ssack쓰리솥뚜껑김치삼겹살,일반휴게음식-일반한식,경기도 의정부시 부용로203번길 55 ,11772,37.750096,127.080153,2020-09-04
의정부시,SWEET(스위트),일반휴게음식-일반한식,경기도 의정부시 전좌로156번길 24,11640,37.721626,127.042456,2020-09-04
의정부시,THE HONG (더홍),일반휴게음식-서양음식,경기도 의정부시 장곡로 462,11740,37.744154,127.055901,2020-09-04
의정부시,The 램,일반휴게음식-일반한식,경기도 의정부시 오목로225번길 141,11813,37.7454,127.095375,2020-09-04
의정부시,the 부ㅋ,일반휴게음식-스넥,경기도 의정부시 부용로203번길 36,11772,37.750762,127.08029,2020-09-04
의정부시,The 빨간짬뽕,일반휴게음식-일반한식,경기도 의정부시 오목로225번길 69-28,11813,37.746371,127.097373,2020-09-04
의정부시,tian mi mi,일반휴게음식-중국식,경기도 의정부시 경의로 66-1,11654,37.732681,127.042824,2020-09-04
의정부시,To. PUB(투펍),일반휴게음식-주점,경기도 의정부시 평화로552번길 29-13,11692,37.741823,127.049126,2020-09-04
의정부시,Vin de table(빈드테이블),일반휴게음식-서양음식,경기도 의정부시 경의로75번길 60,11652,,,2020-09-04
의정부시,vive(비브),일반휴게음식-서양음식,경기도 의정부시 시민로146번길 23,11697,,,2020-09-04
의정부시,가나 점보돈까스 의정부점,일반휴게음식-일반한식,경기도 의정부시 태평로166번길 8,11688,37.74747,127.050642,2020-09-04
의정부시,가능동 1번출구,일반휴게음식-일반한식,경기도 의정부시 가능로119번길 32,11678,,,2020-09-04
의정부시,가능뒷고기전문점,일반휴게음식-일반한식,경기도 의정부시 신촌로 23,11676,,,2020-09-04
